"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","regulation of membrane potential","137/3787","463/18805",0.295896328293737,1.46932412293734,5.13460160234931,6.13235272218449e-07,0.000344952740257975,0.000289617145052985,"GRIN1/NTSR2/CHRM1/BAD/SCN3B/GABRA2/CACNB3/NRCAM/GBA1/CDK5/SLC4A3/CHCHD10/KCNG1/GNA11/IFI6/MLLT11/FKBP1B/STX1B/GABRD/CACNA1C/KCND3/SLC1A6/GABRA1/GPR88/P2RX5/CTNNA3/RGS7BP/WDR1/KCNN2/RYR2/ATP1A3/ABCC8/CHRNB2/CHRNA7/GRIA1/ZMYND8/SNCA/PIEZO2/KIF5B/FXYD1/KCNH3/RIMS1/B2M/MET/MTMR2/KCNMA1/OPRD1/KCNMB4/KCNH1/CACNA1D/DMPK/KCNQ2/SCN8A/GABRG2/RIMS2/DMD/RTL10/FGF12/CALM3/RGS4/DLG1/NRXN1/GJC1/BNIP3/GRIA4/CLDN19/BAIAP2/CALM1/HCN2/CXADR/KCNV1/GABBR1/GABRA4/SCN9A/KCNB1/YWHAE/SSH1/ABAT/GJD2/CELF4/GNA14/USP53/KCNB2/BEGAIN/KCNK1/NTRK2/KCNE4/UBB/CAMK2D/GRIK5/MAPT/BIN1/SCN2A/GPD1L/MEF2C/KCNJ9/SRC/GABRG1/GRIK2/NOS1/BAX/NPR2/GRM5/KMT2A/PPP3CA/GABRB2/ACTN2/SLC8A1/KCNF1/ADORA2A/NLGN3/SLC8A2/GPER1/PTEN/ATP1A2/AKT1/GLRB/ABCB5/SLC4A4/PPA2/SCN3A/TMEM108/MFN1/PRKAR1B/PTPN3/SLC9A1/SEZ6/KCNJ2/CACNG2/ATP2A2/GABRA3/ATP5IF1/ABCC9/GABRE/KCNIP2/KCNS2/ATP1A1",137
"GO:0016358","dendrite development","81/3787","242/18805",0.334710743801653,1.66206378061528,5.20535261297823,7.04357384003367e-07,0.000344952740257975,0.000289617145052985,"MAP6/ACTL6B/OBSL1/LPAR1/MAP1S/CDK5/ITPKA/C21orf91/HECW1/FSTL4/CAPRIN2/MINK1/LZTS3/PDLIM5/GPX4/ABI2/CHRNB2/CHRNA7/CC2D1A/ZMYND8/MGARP/FAT3/CAMK2B/KLF7/KIF1A/GPR37/EFNA1/DNM3/KNDC1/DAB1/IQSEC1/SARM1/PAK2/BMP7/FARP1/TNIK/CAPRIN1/BAIAP2/CRKL/ANAPC2/MAPKAPK5/DGKG/DOCK10/EPHA4/ELAVL4/DIP2A/LRP4/ARC/MAP1B/PRICKLE1/SLC11A2/APOE/MEF2C/CDC42/LST1/PICALM/RTN4IP1/RAPGEF2/PPP3CA/BMPR1A/TRAK1/PREX2/SDK1/TANC2/PTEN/DISC1/CDKL5/TET1/EPHB2/PREX1/CAMK1D/FOXO6/SEZ6/DCLK1/CARM1/CPEB3/UBA6/RAB21/PRKG1/ARHGAP33/LZTS1",81
"GO:0008360","regulation of cell shape","53/3787","139/18805",0.381294964028777,1.8933857403119,5.30869175915054,7.15783818572016e-07,0.000344952740257975,0.000289617145052985,"ALDOA/CORO1A/LPAR1/FMNL2/WDR1/DMTN/RHOU/MSN/CFAP410/EZR/PALMD/BRWD1/PTK2/ERMN/DLG1/RHOBTB2/MYH10/ARHGAP35/SH3KBP1/BAIAP2/SYNE3/GNA12/PRPF40A/SEPTIN7/FES/PRAG1/RHOQ/EPB41L3/FGD5/FN1/ANXA1/PLXNB1/ATP10A/PHIP/CDC42EP3/LST1/PDPN/TPM1/PALM/STRIP2/MKLN1/FERMT2/PALM2AKAP2/TBCCD1/SEMA4A/MYO10/RHOJ/CDC42EP5/NF2/FGD2/RDX/COCH/CCL3",53
"GO:0023061","signal release","144/3787","497/18805",0.289738430583501,1.43874602247762,4.97780246736086,1.20209211897047e-06,0.000537936223239286,0.000451643181841763,"MIF/LTBP4/BAD/CPLX1/STXBP1/BRSK2/GRP/RBP4/SYN1/PFKM/CDK5/GNAS/SYNGR3/GNA11/FKBP1B/CPLX2/VPS35/STX1B/SV2B/ZBED6/RPH3A/TOR2A/NADK/SPP1/SYN3/SYN2/ABCC8/NRXN2/NAPA/SIDT2/PIP5K1C/CHRNB2/BAIAP3/SNAP25/SNCA/NR0B2/VSNL1/KLF7/RIMS1/SV2A/INHA/SNAP47/MIDN/SEPTIN5/ABCA1/HTR2A/NNAT/RAB3A/KCNMB4/SLC44A4/SOX4/DNAJC5/NEUROD1/ADAM17/RIMS2/TPRG1L/CADPS/SELENOM/BRAF/KDM5B/SYT7/NRXN1/SYT5/UNC13A/NDUFAF2/CPT1A/NR1D1/EPHA5/FGFR1/NKX3-1/NF1/SYT13/KCNB1/MYOF/PORCN/PPFIA3/ABAT/CYP19A1/PREPL/PNKD/TMEM132A/DOC2A/PDZD11/LIN7B/PTPRN/CAMK2G/SNAP29/PRKCE/PLA2G6/ILDR2/ADRA2C/RBM4/GRIK5/IRS1/IL6/LYN/ANXA1/FOXO1/MEF2C/CSPG5/CHRM3/PTPRN2/SNCG/SLC38A2/ENSA/PPP3CA/SLC32A1/CRY1/TCF7L2/ADORA2A/VGF/BRSK1/ADORA3/OSM/GPER1/UBE2Q1/GDNF/ADCY5/CHD7/CRHR1/RPH3AL/PAX8/TFR2/UQCC2/SUCNR1/ATP2A2/CREB1/TMF1/REST/HFE/FBXL20/SYTL4/GRM2/EGFR/PLA2G3/SFRP1/SNAP23/BTK/UCN/PPARG/NR1H4/VAMP7/LIN7C/ACVR2B",144
"GO:1902903","regulation of supramolecular fiber organization","119/3787","396/18805",0.30050505050505,1.49220952594335,4.97106260307059,1.42040409812426e-06,0.000572567671775784,0.000480719226423084,"VILL/SPTAN1/TUBB4A/CORO1A/NAA80/CORO2B/MTSS1/GSN/CLIP3/LPAR1/INPP5J/SPTBN4/MAP1S/TESK1/KATNB1/NME7/SPTBN2/CYFIP2/WDR1/ABI2/DMTN/ADD3/CHRNA7/DCTN1/SNCA/PAK1/SLAIN1/MET/RPS3/HAUS4/CKAP5/ARHGEF7/MAP6D1/PDE4DIP/PAK2/HSPA8/STMN2/BRAF/RGS4/EVL/DLG1/APOA1/KANK1/AKAP13/GPX1/HDGFL3/ARHGAP35/SPTBN1/DAAM2/BAIAP2/HIP1R/ARF1/FLII/SSH1/STMN1/MAPRE3/HSPA1A/FES/NCK1/PRKCE/TTBK2/S100A10/SDC4/SYNPO2/SYNPO/TGFBR1/MAP1B/MAPT/BIN1/BMP10/APOE/BMERB1/CAMSAP1/SVIL/CRACD/MID1IP1/C9orf72/CDC42/CDC42EP3/HAX1/ARHGEF10/SSH2/MKKS/PPM1E/ACTN2/TPM1/TGFB3/TPX2/FCHSD2/SYNPO2L/MLST8/RHPN1/CTTN/PROX1/TWF1/PREX1/TMEFF2/NCKAP1L/PFDN4/KANK2/SCIN/SLC9A1/ADD2/FERMT2/HAUS6/LIMK1/SH3BP1/ELN/S1PR1/AP1AR/LIMA1/CDC42EP5/SFRP1/NF2/CFL2/RDX/ARPC5/PRUNE1/PXN",119
"GO:0007416","synapse assembly","88/3787","273/18805",0.322344322344322,1.60065618740031,5.02010564510405,1.46226380661014e-06,0.000572567671775784,0.000480719226423084,"GABRA2/NRCAM/ADGRL3/PLXNA1/CDK5/VPS35/ICAM5/GABRB3/SPTBN2/EFNB3/GPM6A/CYFIP2/PDLIM5/GABRA1/ACHE/NRXN2/CHRNB2/RTN4R/GRIA1/CC2D1A/SNAP25/PCDHB13/ZDHHC8/SNCA/DNM3/LRRC4/LRFN5/FARP1/LARGE1/LRFN1/ADGRB1/GAP43/GABRG2/NCKIPSD/NRXN1/CAPRIN1/PCDH17/CRKL/FGFR1/GABRA4/LRRTM1/KIRREL3/ROBO2/SPOCK2/NEGR1/LRFN4/PDZD11/LIN7B/DOCK10/LINGO2/NTRK2/LRFN3/LRP4/MAP1B/MAPT/PRICKLE1/MEF2C/PLXNB1/CHD4/GABRG1/EFNB2/CASKIN1/GABRB2/FLRT3/SDK1/NLGN3/PTEN/ADNP/EPHB2/ADD2/ZDHHC2/PCDHB3/GABRA3/UBE3B/FZD5/SEMA4A/DCLK1/GABRE/PCDHB4/THBS2/SLITRK2/OGT/ZDHHC12/VSIG10/ARHGAP33/IL1RAPL2/LIN7C/LZTS1",88
"GO:0099173","postsynapse organization","80/3787","243/18805",0.329218106995885,1.63478914762546,5.00134679704061,1.72324586940436e-06,0.000620169759247489,0.000520685224843064,"CPNE6/NRCAM/ABHD17A/CDK5/ITPKA/CAPRIN2/VPS35/SPTBN2/LZTS3/CYFIP2/PDLIM5/ABI2/NRXN2/INA/IGF1R/CHRNA7/RTN4R/CC2D1A/ZMYND8/ACTN1/ZDHHC8/NEFL/CAMK2B/KIF1A/EZR/EFNA1/DNM3/LRRC4/MTMR2/FARP1/LRFN1/GAP43/DLG1/NCKIPSD/NRXN1/CAPRIN1/BAIAP2/CRKL/FGFR1/NF1/HIP1R/LRRTM1/ARF1/SSH1/GPHN/NRP2/LRFN4/DOCK10/EPHA4/DIP2A/LRP4/ARC/MAP1B/PRICKLE1/APOE/CDC42/ACTB/CASKIN1/ACTN2/SLC7A11/NLGN3/RPS6KA5/TANC2/PTEN/CTTN/AKT1/DISC1/GDNF/CDKL5/GLRB/TMEM108/EPHB2/ADAM10/ZDHHC2/UBE3B/DCLK1/ITGB3/ZDHHC12/ARHGAP33/LZTS1",80
"GO:0046785","microtubule polymerization","41/3787","101/18805",0.405940594059406,2.01576785616243,5.13989952328776,1.96576818711249e-06,0.000620169759247489,0.000520685224843064,"TUBB4A/CLIP3/TUBG1/INPP5J/TUBGCP6/NME7/ZNF207/TUBG2/MAP4/DCTN1/SNCA/PAK1/SLAIN1/MET/TUBA1A/RPS3/HAUS4/CKAP5/ARHGEF7/PDE4DIP/CSNK1D/STMN2/TUBGCP2/HDGFL3/TUBGCP4/STMN1/MAPRE3/CCDC57/HSPA1A/FES/GOLGA2/MAP1B/MAPT/CAMSAP1/NEDD1/NDE1/TPX2/WDR72/MAP7D3/HAUS6/PRUNE1",41
"GO:0043254","regulation of protein-containing complex assembly","127/3787","431/18805",0.294663573085847,1.4632026648744,4.8851123039119,1.97573420278747e-06,0.000620169759247489,0.000520685224843064,"VILL/MED25/SPTAN1/TUBB4A/CORO1A/STXBP1/GSN/CLIP3/GBA1/INPP5J/SPTBN4/ABHD17A/ZNF827/SYNGR3/VPS16/SEPTIN8/VPS35/NME7/SPTBN2/STX1B/CYFIP2/CALY/DMTN/ADD3/NAPA/MSN/NCLN/DCTN1/SNCA/NEK7/IFI16/TRAPPC12/PAK1/SLAIN1/MET/ABCA1/RPS3/HAUS4/CKAP5/OPRD1/ARHGEF7/PDE4DIP/HSPA8/STMN2/LATS2/CPTP/EVL/DLG1/KANK1/SPTBN1/DAAM2/BAIAP2/HIP1R/FLII/SSH1/STMN1/MAPRE3/HSPA1A/FES/NCK1/CSNK1A1/PRKCE/VPS8/DNAJC6/RPL13A/SOX9/PPP2R5B/MAP1B/MAPT/BIN1/FBXL2/APOE/CAMSAP1/SRC/SVIL/VPS41/CRACD/GFAP/BAX/TLR4/CDC42/CDC42EP3/HAX1/ISG15/SSH2/MKKS/CLEC7A/WARS1/KIF9/ATM/SVIP/BRSK1/FCHSD2/LAMP2/VPS39/MLST8/NR1H2/CTTN/MARK4/TWF1/H3-3B/ATAT1/PREX1/NCKAP1L/TRIM65/KANK2/SCIN/ADD2/FERMT2/HAUS6/ABCA3/ELN/SELP/CDC42EP5/JMJD6/RDX/ARPC5/BTK/PRUNE1/OGT/HMGB1/ZDHHC12/GBP2/UBLCP1/GNL3L/LMO4/BBC3",127
"GO:0140238","presynaptic endocytosis","35/3787","81/18805",0.432098765432099,2.14566075625841,5.18878832266924,1.97979172944131e-06,0.000620169759247489,0.000520685224843064,"DNM1/SLC17A7/AP2M1/CDK5/AP3D1/CTBP1/SH3GL1/AP3S2/PIP5K1C/TOR1A/SNCA/DNM3/AAK1/CALM3/SYT7/CALM1/SH3GL2/AP3M2/AMPH/DNAJC6/AP3B2/PIK3C3/STON2/BIN1/STON1/ACTB/AP2A2/SNCG/PICALM/VAMP4/NLGN3/AP2S1/PPP3CC/CAPN2/ITSN2",35
"GO:0006605","protein targeting","104/3787","339/18805",0.306784660766962,1.52339201101735,4.88323074921107,2.30199170085927e-06,0.000669655030205675,0.000562232315863025,"TIMM23/HUWE1/AP4S1/SRPRA/NAGPA/HPCA/VPS51/CDK5/SAMM50/AP3D1/ERBIN/BAG6/KATNB1/PIN1/HGS/PEX19/RAB7A/DMTN/MON1A/RHOU/AGK/NCOA4/VPS4A/VPS52/SYNGR1/MGARP/CDC37/PEX6/CACNG3/MTCL1/ZDHHC4/TIMM44/TIMM29/SPCS3/VPS13C/SCARB2/HSPA8/AQP11/LARGE1/NPEPPS/PMPCA/ARL6/RTP4/ROMO1/SPCS1/TIMM13/MTCH1/TOMM70/TIMM22/YWHAB/KCNB1/YWHAZ/YWHAE/YWHAQ/RABGEF1/PEX7/BAG3/GRPEL1/LTBP2/MIPEP/VPS8/TIMM50/HSPA4/PIK3C3/VPS53/MTERF4/SQSTM1/ZDHHC21/TOMM5/VPS41/SEC61A2/HAX1/SIL1/DNLZ/ANKRD6/HOMER3/SSR1/TRAK1/ZFAND2B/LAMP2/TCAF1/ZDHHC24/ZFAND6/KIF13B/M6PR/AKT2/ZDHHC20/ZDHHC2/YIF1B/TIMM17A/CACNG2/GET4/FZD5/LONP2/TRAM1/ATP5IF1/LMAN1/VPS13A/PML/ZDHHC14/HACL1/ZDHHC12/RNF31/GOLPH3",104
